AntiquePocketWatch tárgyat Buyer9 (Agresszív) nyerte, 500 leütési áron.
VintageOilPainting tárgyat Buyer12 (Agresszív) nyerte, 500 leütési áron.
RareFirstEditionBook tárgyat Buyer28 (Agresszív) nyerte, 496 leütési áron.
HandcraftedMahoganyChair tárgyat Buyer7 (Agresszív) nyerte, 482 leütési áron.
SilverTeaSet tárgyat Buyer1 (Agresszív) nyerte, 498 leütési áron.
AncientRomanCoin tárgyat Buyer24 (Agresszív) nyerte, 498 leütési áron.
ArtDecoNecklace tárgyat Buyer15 (Agresszív) nyerte, 494 leütési áron.
SignedBaseballMemorabilia tárgyat Buyer17 (Agresszív) nyerte, 494 leütési áron.
PorcelainDollCollection tárgyat Buyer8 (Agresszív) nyerte, 500 leütési áron.
AntiqueBrassCompass tárgyat Buyer30 (Agresszív) nyerte, 488 leütési áron.
VictorianEraRing tárgyat Buyer2 (Agresszív) nyerte, 499 leütési áron.
LimitedEditionVinylRecord tárgyat Buyer6 (Agresszív) nyerte, 499 leütési áron.
HandwovenPersianRug tárgyat Buyer3 (Agresszív) nyerte, 499 leütési áron.
19thCenturyPistol tárgyat Buyer10 (Agresszív) nyerte, 496 leütési áron.
CrystalDecanterSet tárgyat Buyer19 (Agresszív) nyerte, 492 leütési áron.
RareOrchidPlant tárgyat Buyer20 (Agresszív) nyerte, 499 leütési áron.
SteampunkGoggles tárgyat Buyer5 (Agresszív) nyerte, 500 leütési áron.
AutographedMoviePoster tárgyat Buyer11 (Agresszív) nyerte, 492 leütési áron.
TiffanyStyleLamp tárgyat Buyer13 (Agresszív) nyerte, 499 leütési áron.
JapaneseSamuraiSword tárgyat Buyer22 (Agresszív) nyerte, 499 leütési áron.
VintageTypewriter tárgyat Buyer14 (Agresszív) nyerte, 498 leütési áron.
HandpaintedCeramicVase tárgyat Buyer16 (Agresszív) nyerte, 491 leütési áron.
CollectorsChessSet tárgyat Buyer18 (Agresszív) nyerte, 495 leütési áron.
AntiqueGlobe tárgyat Buyer23 (Agresszív) nyerte, 490 leütési áron.
DesignerLeatherHandbag tárgyat Buyer21 (Agresszív) nyerte, 498 leütési áron.
ArtisanalChocolateHamper tárgyat Buyer4 (Agresszív) nyerte, 400 leütési áron.
RareWhiskeyBottle tárgyat Buyer26 (Agresszív) nyerte, 490 leütési áron.
GoldPlatedFountainPen tárgyat Buyer25 (Agresszív) nyerte, 480 leütési áron.
MeteoriteFragment tárgyat senki nem nyerte, -1 leütési áron.
MidCenturyModernClock tárgyat Buyer27 (Agresszív) nyerte, 499 leütési áron.
